title_de,title_ru
"Alfred Delp Ausstellung","Выставка Альфреда Делпа"
"Harter Herbstflohmarkt","Осенний блошиный рынок"
Sonntags-Flohmarkt,"Воскресный блошиный рынок"
"Erntedankgottesdienst mit anschließendem Frühschoppen","Благодарственная служба с последующим утренним пивом"
Yoga,Йога
"Frühstücks-Buffet in der Panoramagaststätte","Завтрак-буфет в ресторане с панорамным видом"
"Festgottesdienst in Unterwössen","Торжественная служба в Унтервёссене"
"Vogelbeobachtungen am Naturbeobachtungsturm Hirschauer Bucht","Наблюдение за птицами с обзорной башни в бухте Хиршауэр"
"Lauftreff Tengling","Клуб бегунов Тенглинг"
"Abgesagt: LandArt-Workshop: „Klänge aus der Natur“","Отменено: мастер-класс по ландшафтному искусству «Звуки природы»"
"Michael Ende – Leben und Werk in Texten und Bildern","Михаэль Энде – жизнь и творчество в текстах и изображениях"
"Sonderausstellung ""Molassic Park"" im MammutMuseum Siegsdorf","Специальная выставка «Molassic Park» в музее мамонтов в Зигсдорфе"
"Malkurs: Reisebilder für Anfänger und Fortgeschrittene","Курс рисования: «Картины из путешествий» для начинающих и продвинутых"
"Geführte Wanderung - ""Die Alpenentstehung""","Экскурсия с гидом – «Возникновение Альп»"
"Besuch im Museum Torfbahnhof Rottau","Посещение музея Torfbahnhof Rottau"
"Wössner Erntedank Matinée","Матине в честь дня благодарения в Вёсснере"
"Chieminger Markt","Рынок в Кимингене"
"Ausstellung: ""Prof. Heinrich Kirchner & seine Skulpturen""","Выставка: «Профессор Генрих Кирхнер и его скульптуры»"
"Ausstellung: ""Der Scherben-Kare"" - Carl Ostermayer","Выставка: «Der Scherben-Kare» – Карл Остермайер"
"Prana-Heilung nach Grandmaster Choa Kok Sui","Прана-исцеление по методу Грандмастера Чоа Кок Суи"
Erntebüscherlverkauf,"Продажа букетов урожая"
"Es herbstelt im Achental – Kräuterwanderung mit Silke Naumann","Осень в долине Ахенталь — прогулка по сбору трав с Сильке Науманн"
"51. Internationaler Hochfellnberglauf","51-й Международный забег на гору Хохфелльн"
"Fest der Schöpfung","Праздник творения"
"Sonderausstellung: „Land- und Forstwirtschaft in der Römerzeit“","Специальная выставка: «Сельское хозяйство и лесоводство в римскую эпоху»"
Mama-Kind-Yoga,"Йога для мам с детьми"
"Michelifrühschoppen in Rottau","Утренний пиво в Роттау"
Erntedank,"Праздник урожая"
"""Schöpfung erleben - den Atem Gottes spüren"" - Berggottesdienst bei der Bergwachthütte am Unternberg","«Испытать творение — почувствовать дыхание Бога» — горная служба у хижины горной стражи на Унтернберге"
"Stadtmuseum Heimathaus Traunstein","Городской музей Heimathaus Traunstein"
"OIMARA Festei mit ""A bissl a MUSI""","OIMARA Festei с «A bissl a MUSI»"
