Ort;Plz;Bundesland
Aach;54298;RP
Aach;78267;BW
Aachen;52062;NW
Aachen;52064;NW
Aachen;52066;NW
Aachen;52068;NW
Aachen;52070;NW
Aachen;52072;NW
Aachen;52074;NW
Aachen;52076;NW
Aachen;52078;NW
Aachen;52080;NW
Aalen;73430;BW
Aalen;73431;BW
Aalen;73432;BW
Aalen;73433;BW
Aalen;73434;BW
Aarbergen;65326;HE
Aasbüttel;25560;SH
Abbau Ader;29416;ST
Abbendorf;19322;BB
Abbenrode;38871;ST
Abberode;6543;ST
Abenberg;91183;BY
Abend;1623;SN
Abensberg;93326;BY
Abentheuer;55767;RP
Abraham;94036;BY
Absberg;91720;BY
Abstatt;74232;BW
Abtlöbnitz;6628;ST
Abtsbessingen;99713;TH
Abtsdorf;6888;ST
Abtsgmünd;73453;BW
Abtsteinach;69518;HE
Abtswind;97355;BY
Abtweiler;55568;RP
Achberg;88147;BW
Achen;83552;BY
Achern;77855;BW
Achim;28832;NI
Achim;38312;NI
Achslach;94250;BY
Achstetten;88480;BW
Acht;56729;RP
Achtelsbach;55767;RP
Achterspannerhof;56299;RP
Achterwehr;24239;SH
Achtrup;25917;SH
Ackendorf;39343;ST
Ackermannshof;16259;BB
Adamshoffnung;17213;MV
Addebüll;25842;SH
Adelberg;73099;BW
Adelebsen;37139;NI
Adelhausen;98646;TH
Adelheidsdorf;29352;NI
Adelmannsfelden;73486;BW
Adelschlag;85111;BY
Adelsdorf;1561;SN
Adelsdorf;91325;BY
Adelsheim;74740;BW
Adelshofen;82276;BY
Adelshofen;91587;BY
Adelsried;86477;BY
Adelzhausen;86559;BY
Adenau;53518;RP
Adenbach;67742;RP
Adenbüttel;38528;NI
Adendorf;21365;NI
Adenstedt;31079;NI
Aderstedt;6408;ST
Aderstedt;38838;ST
Adlersteige;73479;BW
Adligstadt;83364;BY
Adlkofen;84166;BY
Admannshagen-Bargeshagen;18211;MV
Adorf;8626;SN
Aebtissinwisch;25572;SH
Aerzen;31855;NI
Affalterbach;71563;BW
Affing;86444;BY
Affinghausen;27257;NI
Affler;54689;RP
Aftholderbach;56355;RP
Agathenburg;21684;NI
Agethorst;25560;SH
Aglasterhausen;74858;BW
Aham;84168;BY
Ahaus;48683;NW
Ahausen;27367;NI
Ahlbeck;17375;MV
Ahlden;29693;NI
